,publishedat,channeltitle,duration,viewcount,likecount,commentcount,juego
708,2021-03-26,Macg1,409,610345,11673.0,1024.0,Call of Duty: Warzone
709,2021-03-16,Soki,1118,569238,22942.0,628.0,Call of Duty: Warzone
710,2021-03-25,DefendTheHouse,777,546807,16031.0,491.0,Call of Duty: Warzone
711,2021-03-04,Deeper Jungle,510,528227,6070.0,1315.0,Call of Duty: Warzone
712,2021-03-23,Soki,1008,518751,18516.0,640.0,Call of Duty: Warzone
713,2021-03-12,jackfrags,993,483694,18115.0,600.0,Call of Duty: Warzone
714,2021-03-01,Soki,961,445210,14850.0,363.0,Call of Duty: Warzone
715,2021-03-30,Soki,894,379794,16904.0,492.0,Call of Duty: Warzone
716,2021-03-24,Xbox Series X and S Gameplay,1130,323343,3166.0,412.0,Call of Duty: Warzone
717,2021-03-05,Soki,1085,309471,11596.0,321.0,Call of Duty: Warzone
718,2021-03-25,Soki,1037,285635,13036.0,272.0,Call of Duty: Warzone
719,2021-03-08,GTX 1050 Ti,575,284655,5477.0,376.0,Call of Duty: Warzone
720,2021-03-09,Inkslasher,977,276835,6195.0,390.0,Call of Duty: Warzone
721,2021-03-10,Soki,905,249777,18967.0,854.0,Call of Duty: Warzone
722,2021-03-24,Soki,924,226186,12065.0,359.0,Call of Duty: Warzone
723,2021-03-13,Soki,863,218974,10419.0,255.0,Call of Duty: Warzone
724,2021-03-24,Soki,783,216272,14958.0,720.0,Call of Duty: Warzone
725,2021-03-05,Inkslasher,675,200673,8524.0,1205.0,Call of Duty: Warzone
726,2021-03-27,WhosImmortal,523,174583,5442.0,584.0,Call of Duty: Warzone
727,2021-03-03,Soki,759,172175,11724.0,384.0,Call of Duty: Warzone
728,2021-03-23,NoAnnoyingCommentary,1600,165055,3024.0,69.0,Call of Duty: Warzone
729,2021-03-14,WhosImmortal,564,156404,5942.0,620.0,Call of Duty: Warzone
730,2021-03-02,Inkslasher,650,151366,7076.0,970.0,Call of Duty: Warzone
731,2021-03-17,WhosImmortal,1642,143898,5889.0,965.0,Call of Duty: Warzone
732,2021-03-19,WhosImmortal,583,130493,4617.0,495.0,Call of Duty: Warzone
